Type,Region,Residence Type,Service Type,Year,Coverage,Population,Service level
sdg,Australia and New Zealand,total,Sanitation,2014,0,0,Limited service
sdg,Australia and New Zealand,total,Sanitation,2014,0,0,Open defecation
sdg,Australia and New Zealand,total,Sanitation,2014,69.89481,19685138.35804,Safely managed service
sdg,Australia and New Zealand,total,Sanitation,2014,0.00741,2087.5995,Unimproved
sdg,Australia and New Zealand,total,Drinking water,2014,99.96773,28154858.83525,At least basic
sdg,Australia and New Zealand,rural,Drinking water,2014,100,4024032.25,At least basic
sdg,Australia and New Zealand,urban,Drinking water,2014,3.42113,825858.71987,Basic service
sdg,Australia and New Zealand,total,Drinking water,2014,0,0,Limited service
sdg,Australia and New Zealand,rural,Drinking water,2014,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2014,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2014,96.54121,23304967.52475,Safely managed service
sdg,Australia and New Zealand,total,Drinking water,2014,0,0,Surface water
sdg,Australia and New Zealand,rural,Drinking water,2014,0,0,Surface water
sdg,Australia and New Zealand,urban,Drinking water,2014,0,0,Surface water
sdg,Australia and New Zealand,total,Drinking water,2014,0.03227,9089.43329,Unimproved
sdg,Australia and New Zealand,rural,Drinking water,2014,0,0,Unimproved
sdg,Australia and New Zealand,urban,Drinking water,2014,0.03765,9089.55537,Unimproved
sdg,Australia and New Zealand,total,Sanitation,2015,29.16195,8324869.11397,Basic service
sdg,Australia and New Zealand,total,Sanitation,2015,0,0,Limited service
sdg,Australia and New Zealand,total,Sanitation,2015,0,0,Open defecation
sdg,Australia and New Zealand,total,Sanitation,2015,70.83063,20220038.5521,Safely managed service
sdg,Australia and New Zealand,total,Sanitation,2015,0.00742,2117.3339,Unimproved
sdg,Australia and New Zealand,total,Drinking water,2015,99.97485,28539846.42681,At least basic
sdg,Australia and New Zealand,rural,Drinking water,2015,100,4052406.05,At least basic
sdg,Australia and New Zealand,urban,Drinking water,2015,3.42509,838963.61685,Basic service
sdg,Australia and New Zealand,total,Drinking water,2015,0,0,Limited service
sdg,Australia and New Zealand,rural,Drinking water,2015,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2015,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2015,96.5456,23648476.54652,Safely managed service
sdg,Australia and New Zealand,total,Drinking water,2015,0,0,Surface water
sdg,Australia and New Zealand,rural,Drinking water,2015,0,0,Surface water
sdg,Australia and New Zealand,urban,Drinking water,2015,0,0,Surface water
sdg,Australia and New Zealand,total,Drinking water,2015,0.02515,7178.51467,Unimproved
sdg,Australia and New Zealand,rural,Drinking water,2015,0,0,Unimproved
sdg,Australia and New Zealand,urban,Drinking water,2015,0.02931,7178.63661,Unimproved
sdg,Australia and New Zealand,total,Sanitation,2016,28.22556,8163388.86394,Basic service
sdg,Australia and New Zealand,total,Sanitation,2016,0,0,Limited service
sdg,Australia and New Zealand,total,Sanitation,2016,0,0,Open defecation
sdg,Australia and New Zealand,total,Sanitation,2016,71.76702,20756440.2576,Safely managed service
sdg,Australia and New Zealand,total,Sanitation,2016,0.00742,2145.87846,Unimproved
sdg,Australia and New Zealand,total,Drinking water,2016,99.97481,28914688.90066,At least basic
sdg,Australia and New Zealand,rural,Drinking water,2016,100,4078965.24,At least basic
sdg,Australia and New Zealand,urban,Drinking water,2016,3.42764,851528.32844,Basic service
sdg,Australia and New Zealand,total,Drinking water,2016,0,0,Limited service
sdg,Australia and New Zealand,rural,Drinking water,2016,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2016,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2016,96.54303,23984194.5801,Safely managed service
sdg,Australia and New Zealand,total,Drinking water,2016,0,0,Surface water
sdg,Australia and New Zealand,rural,Drinking water,2016,0,0,Surface water
sdg,Australia and New Zealand,urban,Drinking water,2016,0,0,Surface water
sdg,Australia and New Zealand,total,Drinking water,2016,0.02519,7285.29846,Unimproved
sdg,Australia and New Zealand,rural,Drinking water,2016,0,0,Unimproved
sdg,Australia and New Zealand,urban,Drinking water,2016,0.02933,7286.09146,Unimproved
sdg,Australia and New Zealand,total,Sanitation,2017,27.28841,7991860.49609,Basic service
sdg,Australia and New Zealand,total,Sanitation,2017,0,0,Limited service
sdg,Australia and New Zealand,total,Sanitation,2017,0,0,Open defecation
sdg,Australia and New Zealand,total,Sanitation,2017,72.70416,21292613.22863,Safely managed service
sdg,Australia and New Zealand,total,Sanitation,2017,0.00743,2175.27528,Unimproved
sdg,Australia and New Zealand,total,Drinking water,2017,99.97476,29279257.62466,At least basic
sdg,Australia and New Zealand,rural,Drinking water,2017,100,4101820,At least basic
sdg,Australia and New Zealand,urban,Drinking water,2017,3.43016,863880.02296,Basic service
sdg,Australia and New Zealand,total,Drinking water,2017,0,0,Limited service
sdg,Australia and New Zealand,rural,Drinking water,2017,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2017,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2017,96.54049,24313556.76678,Safely managed service
